,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
376,Kushima,24,JP,1569425093,95,31.5,131.29,20.07,1.5
377,Qidong,100,CN,1569425391,66,31.81,121.66,23.89,2.25
378,Port Hedland,23,AU,1569425394,77,-20.31,118.58,20.0,3.6
379,San Policarpo,25,PH,1569425395,81,12.18,125.51,26.57,2.41
380,Portland,40,US,1569425397,52,43.66,-70.25,20.0,1.5
381,Oriximina,13,BR,1569425398,51,-1.77,-55.87,32.07,1.84
382,Magadan,100,RU,1569425400,60,59.56,150.8,2.57,8.63
383,Igarka,100,RU,1569425401,96,67.47,86.57,1.47,7.02
384,Elat,100,CM,1569425411,94,2.91,11.16,23.67,2.08
385,Igrim,100,RU,1569425413,79,63.19,64.42,2.07,5.08
386,Esna,90,RO,1569425415,68,45.2,27.57,19.0,3.6
387,Palembang,68,ID,1569425416,74,-2.99,104.76,25.27,2.09
388,Saiha,100,IN,1569425417,88,22.49,92.98,22.77,0.77
389,Iquique,20,CL,1569425423,63,-20.22,-70.14,17.0,4.6
390,Biskamzha,56,RU,1569425425,89,53.45,89.53,4.37,1.06
391,Coahuayana,55,MX,1569425426,88,18.62,-100.35,24.67,0.57
392,Kungurtug,100,RU,1569425427,59,50.6,97.53,10.97,0.69
393,Snasa,0,NO,1569425429,58,64.25,12.38,15.0,4.1
394,Ust-Maya,18,RU,1569425433,94,60.42,134.54,-0.53,1.9
395,Riyadh,0,SA,1569425437,14,24.63,46.72,37.0,3.1
396,Veraval,90,FR,1569425438,68,49.65,0.71,18.0,5.1
397,San Carlos de Bariloche,0,AR,1569425173,47,-41.13,-71.31,18.33,2.6
398,Ipameri,95,BR,1569425442,27,-17.72,-48.16,32.17,3.92
399,Darab,1,IR,1569425443,30,28.75,54.55,23.27,4.94
400,Nhulunbuy,3,AU,1569425445,94,-12.18,136.78,21.0,5.08
401,Mitsamiouli,2,KM,1569425446,78,-11.38,43.28,26.17,10.12
402,Simao,100,CN,1569425447,96,22.76,100.79,16.77,1.29
403,Cayenne,0,GF,1569425388,55,4.94,-52.33,33.0,2.6
404,Rocha,0,UY,1569425449,50,-34.48,-54.34,22.17,2.23
405,Kerewan,75,GM,1569425451,74,13.49,-16.09,31.0,1.5
406,Carlos Chagas,100,BR,1569425452,66,-17.7,-40.76,21.47,1.95
407,Santa Cruz del Sur,100,CU,1569425453,76,20.71,-78.0,29.17,3.3
408,Morecambe,20,GB,1569425454,82,54.07,-2.87,18.33,3.6
409,College,90,US,1569425414,98,64.86,-147.8,1.11,1.5
410,Inirida,93,CO,1569425456,54,3.87,-67.92,32.87,0.61
411,Hue,75,VN,1569425458,94,16.47,107.58,25.0,1.5
412,Lincoln,75,GB,1569425459,100,53.23,-0.54,18.89,3.6
413,Rapid Valley,90,US,1569425460,66,44.06,-103.15,13.33,5.84
414,Champerico,40,MX,1569425461,78,16.38,-93.6,26.0,0.89
415,Carballo,75,ES,1569425463,68,43.21,-8.69,20.56,4.1
416,Hovd,0,NO,1569425464,48,63.83,10.7,17.0,2.6
417,Oranjemund,0,ZA,1569425465,34,-28.55,16.43,23.97,5.71
418,Zhigalovo,67,RU,1569425466,71,54.81,105.15,9.77,1.42
419,Grindavik,75,IS,1569425399,87,63.84,-22.43,16.0,6.7
420,Buin,0,CL,1569425473,33,-33.73,-70.74,22.22,1.5
421,Nola,99,CF,1569425474,61,3.52,16.05,28.27,1.73
422,Revelstoke,90,CA,1569425476,100,50.99,-118.19,8.0,1.5
423,Puerto Leguizamo,59,CO,1569425477,53,-0.19,-74.78,30.37,1.94
424,Vila do Maio,75,CV,1569425478,62,15.13,-23.22,31.0,6.7
425,Sao Joao do Piaui,6,BR,1569425479,21,-8.36,-42.25,34.87,3.74
426,Leverkusen,75,DE,1569425480,63,51.03,6.99,18.89,2.6
427,Jerico,96,PE,1569425482,84,-6.15,-77.04,12.17,2.22
428,Sanguem,75,IN,1569425484,88,15.23,74.14,27.0,1.0
429,Tessalit,0,ML,1569425485,8,20.2,1.01,40.47,5.67
430,Esmeralda,0,CL,1569425487,46,-34.33,-70.9,21.0,2.1
431,Port Blair,94,IN,1569425489,82,11.67,92.75,27.97,6.42
432,Middlebury,75,US,1569425491,67,44.01,-73.17,18.33,2.01
433,Voznesenskoye,100,RU,1569425493,78,54.89,42.76,2.77,0.95
434,Juba,52,EE,1569425494,57,57.82,26.93,10.56,3.1
435,Williston,1,US,1569425495,62,48.15,-103.62,12.0,6.7
436,Fethiye,75,TR,1569425496,69,36.62,29.12,26.11,4.1
437,Winnemucca,0,US,1569425388,72,40.97,-117.74,11.67,2.36
438,Acton Vale,75,CA,1569425499,82,45.65,-72.56,15.0,1.5
439,Bagotville,90,AU,1569425500,77,-28.98,153.42,19.0,3.1
440,Qiongshan,0,CN,1569425502,94,20.01,110.35,23.0,1.0
441,Vila Velha,20,BR,1569425398,52,-3.71,-38.6,31.0,6.7
442,Hualmay,85,PE,1569425507,93,-11.1,-77.61,16.07,3.9
443,Sitka,6,US,1569425509,75,37.17,-99.65,22.78,2.68
444,Carahue,0,CL,1569425511,67,-38.71,-73.16,17.0,5.1
445,Sweetwater,1,US,1569425512,69,32.47,-100.41,28.33,6.7
446,La Ronge,40,CA,1569425514,75,55.1,-105.3,8.0,4.6
447,Leh,0,IN,1569425515,19,34.16,77.58,9.17,1.51
448,Mutare,100,MZ,1569425516,82,-18.97,32.67,14.37,2.03
449,Kruisfontein,0,ZA,1569425517,44,-34.0,24.73,18.57,8.97
450,Tabou,65,CI,1569425518,85,4.42,-7.36,26.47,3.82
451,Keti Bandar,18,PK,1569425520,81,24.14,67.45,29.77,3.8
452,Mudgee,100,AU,1569425521,75,-32.6,149.59,8.0,1.5
453,Pangani,75,KE,1569425522,94,-2.37,40.57,25.0,6.83
454,Ileza,88,RU,1569425524,93,61.05,43.9,0.67,2.09
455,Masty,0,BY,1569425525,58,53.42,24.54,13.0,4.0
456,Matay,0,EG,1569425526,15,28.42,30.79,33.27,3.77
457,Ouargaye,45,BF,1569425527,39,11.5,0.06,35.07,0.78
458,Marsa Matruh,0,EG,1569425430,61,31.35,27.25,28.0,5.1
459,Nouadhibou,0,MR,1569425531,65,20.93,-17.03,25.0,8.7
460,Pangoa,0,PE,1569425532,51,-12.12,-73.0,29.97,1.79
461,Leeton,19,AU,1569425533,80,-34.55,146.4,7.0,2.29
462,Pahrump,1,US,1569425339,27,36.21,-115.98,25.0,8.7
463,Burnie,10,AU,1569425537,68,-41.05,145.91,7.78,1.77
464,Dawei,95,MM,1569425538,73,14.07,98.19,28.07,6.15
465,Avera,1,US,1569425540,58,33.19,-82.53,31.67,1.5
466,Paragominas,12,BR,1569425541,38,-3.0,-47.35,36.07,1.99
467,Mogocha,0,RU,1569425542,88,53.73,119.76,5.27,0.63
468,Cheyenne,1,US,1569425355,50,41.14,-104.82,16.67,2.1
469,Timmins,90,CA,1569425418,100,48.48,-81.33,13.0,5.7
470,Rochegda,95,RU,1569425547,79,62.67,43.41,3.87,3.88
471,Chumikan,63,RU,1569425548,68,54.72,135.31,0.57,3.53
472,Fairbanks,90,US,1569425444,98,64.84,-147.72,1.11,1.5
473,Maiduguri,0,NG,1569425555,24,11.84,13.15,37.47,0.29
474,North Myrtle Beach,40,US,1569425484,74,33.83,-78.68,29.44,3.1
475,Taoudenni,0,ML,1569425557,6,22.68,-3.98,42.97,3.69
476,Sur,80,OM,1569425292,69,22.57,59.53,27.77,4.28
477,Abu Zabad,9,SD,1569425559,31,12.35,29.25,35.17,2.19
478,Tautira,65,PF,1569425564,69,-17.73,-149.15,24.0,1.5
479,Mezen,100,RU,1569425567,85,65.85,44.24,4.67,8.42
480,Genhe,0,CN,1569425571,86,50.78,121.52,6.57,0.25
481,Leningradskiy,100,RU,1569425572,83,69.38,178.42,0.47,3.01
482,Appingedam,90,NL,1569425573,82,53.32,6.86,18.33,4.6
483,Vao,100,EE,1569425574,93,59.1,26.19,8.07,0.26
484,Gillette,90,US,1569425576,54,44.29,-105.5,12.22,6.28
485,Sutton,1,US,1569425577,63,40.61,-97.86,21.67,3.1
486,Belaya Gora,100,RU,1569425579,74,68.54,146.19,-3.13,3.32
487,Kirakira,71,SB,1569425580,87,-10.46,161.92,24.87,2.95
488,Lavrentiya,0,RU,1569425417,89,65.58,-170.99,-2.73,1.57
489,Waingapu,0,ID,1569425583,80,-9.65,120.26,22.27,4.08
490,Dali,0,CN,1569425584,41,34.79,109.94,20.97,1.87
491,Ucluelet,40,CA,1569425585,100,48.94,-125.55,11.11,1.0
492,Zhigansk,100,RU,1569425586,84,66.77,123.37,4.47,4.39
493,Mackenzie,90,CA,1569425587,87,55.34,-123.09,6.0,2.6
494,Nantucket,1,US,1569425464,63,41.28,-70.1,20.0,6.2
495,Santa Isabel,20,MX,1569425590,38,32.63,-115.58,26.11,1.5
496,Rumia,0,PL,1569425591,72,54.57,18.4,15.56,3.1
497,Sechelt,20,CA,1569425592,87,49.47,-123.76,12.22,1.5
498,Nago,20,IT,1569425593,60,45.88,10.89,23.0,2.6
499,Nan,95,TH,1569425594,92,18.78,100.78,20.27,0.21
500,Gusau,67,NG,1569425595,34,12.17,6.66,34.07,1.67
501,Lerwick,75,GB,1569425474,100,60.15,-1.15,13.0,9.3
502,Talwara,7,IN,1569425597,61,31.94,75.88,28.37,1.68
503,Santa Rosa,0,AR,1569425599,22,-36.62,-64.29,26.87,1.72
504,Catia La Mar,75,VE,1569425600,78,10.6,-67.03,28.0,2.6
505,Brufut,75,GM,1569425601,74,13.38,-16.75,31.0,1.5
506,Syracuse,40,US,1569425306,63,43.05,-76.15,21.67,1.5
507,Mareeba,75,AU,1569425603,73,-16.99,145.42,23.0,5.7
508,Yate,75,GB,1569425604,77,51.54,-2.41,18.89,7.7
509,Port Augusta,0,AU,1569425605,87,-32.49,137.76,10.0,2.6
510,Stromness,20,CA,1569425607,56,42.87,-79.55,24.44,5.1
511,Sibiti,55,CG,1569425609,46,-3.69,13.35,31.37,2.12
512,Moussoro,51,TD,1569425610,13,13.64,16.49,40.47,5.68
513,Sume,40,RS,1569425611,56,43.62,20.22,23.0,3.1
514,Ocumare del Tuy,75,VE,1569425612,78,10.11,-66.78,28.0,2.6
515,Tuy Hoa,28,VN,1569425613,96,13.08,109.3,22.57,0.76
516,Mandalgovi,100,MN,1569425614,20,45.76,106.27,16.27,3.09
517,Sabha,0,LY,1569425573,11,27.03,14.43,36.87,1.42
518,Khani,75,GE,1569425616,69,41.96,42.96,24.0,1.5
519,Kilgore,20,US,1569425427,74,32.39,-94.88,28.33,5.7
520,Blackwater,51,GB,1569425618,68,51.33,-0.78,21.0,5.7
521,Fortuna,90,US,1569425620,93,40.6,-124.16,15.56,3.1
522,Nemuro,0,JP,1569425623,55,43.32,145.57,14.07,7.83
523,Northam,100,AU,1569425624,87,-31.65,116.67,13.0,1.86
524,Boguchany,75,RU,1569425625,76,58.38,97.46,3.87,1.69
525,Douglas,90,US,1569425627,93,58.28,-134.39,10.0,2.92
526,De-Kastri,0,RU,1569425628,68,51.48,140.77,4.47,4.32
527,Prince Rupert,90,CA,1569425507,93,54.32,-130.32,12.0,2.6
528,Qandala,0,SO,1569425630,55,11.47,49.87,31.87,4.47
529,Guerrero Negro,15,MX,1569425632,87,27.97,-114.04,19.57,2.01
530,Bambanglipuro,32,ID,1569425633,91,-7.95,110.28,24.57,5.0
531,Saint-Pierre,90,FR,1569425634,77,48.95,4.24,18.0,6.7
532,Sept-Iles,75,CA,1569425335,81,50.2,-66.38,10.0,4.1
533,Shaowu,100,CN,1569425636,58,27.34,117.49,17.57,1.11
534,Okhotsk,59,RU,1569425637,68,59.36,143.24,0.97,8.12
535,Tepeaca,40,MX,1569425638,68,18.97,-97.9,20.0,1.5
536,Rorvik,0,NO,1569425639,58,64.86,11.24,15.0,4.1
537,Kutum,0,SD,1569425641,17,14.2,24.66,33.17,6.2
538,Umm Lajj,0,SA,1569425642,79,25.02,37.27,28.67,4.97
539,Vilhena,20,BR,1569425406,55,-12.74,-60.15,31.0,3.1
540,Mogadishu,20,SO,1569425575,69,2.04,45.34,28.0,6.2
541,Sao Felix do Xingu,54,BR,1569425563,27,-6.64,-51.99,38.57,1.69
542,Abu Samrah,0,SY,1569425646,25,35.3,37.18,29.57,4.84
543,Hegang,0,CN,1569425647,76,47.34,130.28,6.57,0.89
544,Baj,0,HU,1569425648,64,47.65,18.36,21.67,3.1
545,Afogados da Ingazeira,32,BR,1569425649,24,-7.75,-37.64,31.87,4.7
546,Neepawa,40,CA,1569425650,81,50.23,-99.46,8.0,5.7
547,Yandyki,35,RU,1569425652,52,45.77,47.13,15.77,5.61
548,Arman,100,RU,1569425653,66,59.7,150.17,-2.53,4.6
549,Gasa,88,BT,1569425654,90,27.91,89.73,2.97,1.85
550,Ayr,79,AU,1569425655,87,-19.58,147.4,17.78,1.31
551,Yarega,100,RU,1569425656,93,63.43,53.58,1.47,5.68
552,Srednekolymsk,23,RU,1569425657,87,67.46,153.71,-4.23,4.81
553,Samarai,79,PG,1569425476,94,-10.62,150.67,22.87,3.4
554,Thinadhoo,100,MV,1569425659,70,0.53,72.93,27.97,5.99
555,Victoria,75,BN,1569425373,79,5.28,115.24,30.0,3.1
556,Morros,75,BR,1569425484,62,-2.87,-44.04,31.0,4.1
557,Otane,0,NZ,1569425663,75,-39.89,176.62,6.11,8.05
558,Yakeshi,0,CN,1569425664,71,49.28,120.73,10.47,1.03
559,Fort Nelson,75,CA,1569425665,100,58.81,-122.69,3.0,1.46
